File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
circuit10_10_1FAULTS_FAULTVERSION1.xlsx,33,243,3,2,10,10,115,66,24,66,24,2264,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,275,184 (91 diagnoses from 275 are in VBMdiags2),275,184 (91 diagnoses from 275 are in VBMdiags2),4686,2422 (2264 diagnoses from 4686 are in VBMdiags3),4686,2422 (2264 diagnoses from 4686 are in VBMdiags3),
circuit10_10_1FAULTS_FAULTVERSION2.xlsx,33,243,3,1,10,10,68,10,0,10,0,1523,11,2,11,2,275,207 (68 diagnoses from 275 are in VBMdiags2),275,207 (68 diagnoses from 275 are in VBMdiags2),3850,2329 (1521 diagnoses from 3850 are in VBMdiags3),3850,2329 (1521 diagnoses from 3850 are in VBMdiags3),
circuit10_10_1FAULTS_FAULTVERSION3.xlsx,33,243,3,2,11,11,73,100,10,110,10,1215,110,0,0,- (no 3-fault minimal FDMdiags) -,297,234 (63 diagnoses from 297 are in VBMdiags2),297,234 (63 diagnoses from 297 are in VBMdiags2),5346,4131 (1215 diagnoses from 5346 are in VBMdiags3),5456,4241 (1215 diagnoses from 5456 are in VBMdiags3),
circuit10_10_1FAULTS_FAULTVERSION4.xlsx,33,243,3,1,10,10,59,66,19,66,19,1205,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,275,235 (40 diagnoses from 275 are in VBMdiags2),275,235 (40 diagnoses from 275 are in VBMdiags2),4686,3481 (1205 diagnoses from 4686 are in VBMdiags3),4686,3481 (1205 diagnoses from 4686 are in VBMdiags3),
circuit10_10_1FAULTS_FAULTVERSION5.xlsx,33,243,3,10,10,10,275,10,0,10,0,3816,11,11,11,11,275,0 (275 diagnoses from 275 are in VBMdiags2),275,0 (275 diagnoses from 275 are in VBMdiags2),3850,45 (3805 diagnoses from 3850 are in VBMdiags3),3850,45 (3805 diagnoses from 3850 are in VBMdiags3),
circuit10_10_2FAULTS_FAULTVERSION1.xlsx,33,243,3,0,10,10,124,10,0,10,0,2596,11,0,11,0,275,151 (124 diagnoses from 275 are in VBMdiags2),275,151 (124 diagnoses from 275 are in VBMdiags2),3850,1254 (2596 diagnoses from 3850 are in VBMdiags3),3850,1254 (2596 diagnoses from 3850 are in VBMdiags3),
circuit10_10_2FAULTS_FAULTVERSION2.xlsx,33,243,3,9,12,12,271,9,0,9,0,3916,10,10,10,10,318,47 (271 diagnoses from 318 are in VBMdiags2),318,47 (271 diagnoses from 318 are in VBMdiags2),4261,355 (3906 diagnoses from 4261 are in VBMdiags3),4261,355 (3906 diagnoses from 4261 are in VBMdiags3),
circuit10_10_2FAULTS_FAULTVERSION3.xlsx,32,244,12,1,1,1,32,1,1,11,1,503,20,9,54,9,31,0 (31 diagnoses from 31 are in VBMdiags2),31,0 (31 diagnoses from 31 are in VBMdiags2),494,0 (494 diagnoses from 494 are in VBMdiags3),739,245 (494 diagnoses from 739 are in VBMdiags3),
circuit10_10_2FAULTS_FAULTVERSION4.xlsx,33,243,3,0,10,10,131,65,11,65,11,2696,1,0,1,0,275,155 (120 diagnoses from 275 are in VBMdiags2),275,155 (120 diagnoses from 275 are in VBMdiags2),4674,1978 (2696 diagnoses from 4674 are in VBMdiags3),4674,1978 (2696 diagnoses from 4674 are in VBMdiags3),
circuit10_10_2FAULTS_FAULTVERSION5.xlsx,33,243,2,0,10,10,24,22,1,22,1,490,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,275,252 (23 diagnoses from 275 are in VBMdiags2),275,252 (23 diagnoses from 275 are in VBMdiags2),3916,3426 (490 diagnoses from 3916 are in VBMdiags3),3916,3426 (490 diagnoses from 3916 are in VBMdiags3),
circuit10_10_3FAULTS_FAULTVERSION1.xlsx,33,243,3,0,9,9,-,11,- (no 2-fault VBMdiags) -,11,- (no 2-fault VBMdiags) -,timeout,11,- (no 3-fault VBMdiags) timeout,11,- (no 3-fault VBMdiags) timeout,252,- (no 2-fault VBMdiags),252,- (no 2-fault VBMdiags),3619,- (no 3-fault VBMdiags),3619,- (no 3-fault VBMdiags),
circuit10_10_3FAULTS_FAULTVERSION2.xlsx,33,243,3,0,10,10,10,10,0,10,0,265,11,0,11,0,275,265 (10 diagnoses from 275 are in VBMdiags2),275,265 (10 diagnoses from 275 are in VBMdiags2),3850,3585 (265 diagnoses from 3850 are in VBMdiags3),3850,3585 (265 diagnoses from 3850 are in VBMdiags3),
circuit10_10_3FAULTS_FAULTVERSION3.xlsx,33,243,3,0,12,12,18,8,0,8,0,421,20,0,20,0,318,300 (18 diagnoses from 318 are in VBMdiags2),318,300 (18 diagnoses from 318 are in VBMdiags2),4250,3829 (421 diagnoses from 4250 are in VBMdiags3),4250,3829 (421 diagnoses from 4250 are in VBMdiags3),
